acc_num,eng_name,rus_name,description,date_from,date_to,notes,material,technique,size
ОГ-356590,,Прибытие французского командования в Варшаву после поражения в России.,Прибытие французского командования в Варшаву после поражения в России.,1813,1813,,Бумага,офорт раскрашенный,"24,5х35,4 см"
ОГ-356591,,"урок частного преподавания, учитель танцев.","Карикатура: урок частного преподавания, учитель танцев.",1800,1800,,Бумага,офорт раскрашенный,"32,1х26,4 см"
ОГ-356592,,политическое похищение или старая леди с улицы Threadneedle в опасности.,Карикатура: политическое похищение или старая леди с улицы Threadneedle в опасности.,1797,1797,,Бумага,офорт раскрашенный,"31,1х48,5 см"
ОГ-356593,,"современная красавица, отправляющаяся на купанье.","Карикатура: современная красавица, отправляющаяся на купанье.",1796,1796,,Бумага,офорт раскрашенный,"39,7х30 см"
ОГ-356594,,благопристойный рассказ.,Карикатура: благопристойный рассказ.,1795,1795,,Бумага,офорт раскрашенный,"26,8х33,6 см"
ОГ-356595,,"слева королева поджаривает рыбу, справа король Георг III поджаривает гренки.","Карикатура: слева королева поджаривает рыбу, справа король Георг III поджаривает гренки.",1791,1791,,Бумага,офорт раскрашенный,"34,2х46,9 см"
ОГ-356596,,лист из сюиты охотничьих сцен.,Карикатура: лист из сюиты охотничьих сцен.,1800,1800,,Бумага,офорт раскрашенный,"26х37,9 см"
ОГ-356597,,королева уличает в неверности принца Уэльского.,Карикатура: королева уличает в неверности принца Уэльского.,1796,1796,,Бумага,офорт раскрашенный,"30,4х48 см"
ОГ-356598,,"санкюлоты, кормящие Европу хлебом свободы.","Карикатура: санкюлоты, кормящие Европу хлебом свободы.",1793,1793,,Бумага,офорт раскрашенный,"33,8х39,9 см"
ОГ-356599,,Карикатура на немецкую диету: немцы едят кислую капусту.,Карикатура на немецкую диету: немцы едят кислую капусту.,1803,1803,,Бумага,офорт раскрашенный,"34,2х44,9 см"
ОГ-356600,,"дама поет, сидя за роялем; рядом с ней сидит и слушает пожилой толстяк в очках.","Карикатура: дама поет, сидя за роялем; рядом с ней сидит и слушает пожилой толстяк в очках.",1798,1798,,Бумага,офорт раскрашенный,"24,4х26,1 см"
ОГ-356601,,мужчина и толстая дама в двухколесном экипаже.,Карикатура: мужчина и толстая дама в двухколесном экипаже.,1805,1805,,Бумага,офорт раскрашенный,"32,2х45 см"
ОГ-356602,,слева - французская свобода; справа - британское рабство.,Карикатура: слева - французская свобода; справа - британское рабство.,1792,1792,,Бумага,офорт раскрашенный,"48,4х48,1 см"
ОГ-356603,,"Карикатура на Скеффингтона и Монтэгю Маттюса, в виде двух сапог с мужскими головами.","Карикатура на Скеффингтона и Монтэгю Маттюса, в виде двух сапог с мужскими головами.",1801,1801,,Бумага,офорт раскрашенный,"40,3х30,8 см"
ОГ-356604,,пляшущая пара - мужчина с кружкой в руке и женщина в чепце.,Карикатура: пляшущая пара - мужчина с кружкой в руке и женщина в чепце.,1796,1796,,Бумага,гравюра пунктиром раскрашенная,"28,2х3 см"
ОГ-356605,,"Джон Булль с кружкой пива, которую он держит на коленях, сидя на стуле.","Карикатура: Джон Булль с кружкой пива, которую он держит на коленях, сидя на стуле.",1700,1800,,Бумага,офорт раскрашенный,"24,5х34,2 см"
ОГ-356606,,вербовка рекрутов в Кельси.,Карикатура: вербовка рекрутов в Кельси.,1797,1797,,Бумага,офорт раскрашенный,"49х34,8 см"
ОГ-356607,,французский портной примеряет Джону Буллю костюм Жана де Бри.,Карикатура: французский портной примеряет Джону Буллю костюм Жана де Бри.,1799,1799,,Бумага,офорт раскрашенный,"38,3х29,9 см"
ОГ-356608,,научное заседание с экспериментальной лекцией по пневматике.,Карикатура: научное заседание с экспериментальной лекцией по пневматике.,1802,1802,,Бумага,офорт раскрашенный,"27,4х37,3 см"
ОГ-356609,,конец ирландского фарса или католическая эмансипация.,Карикатура: конец ирландского фарса или католическая эмансипация.,1805,1805,,Бумага,офорт раскрашенный,"37,8х47,1 см"
ОГ-356610,,отмена пудреных париков.,Карикатура: отмена пудреных париков.,1795,1795,,Бумага,офорт раскрашенный,"31х48,5 см"
ОГ-356611,,"примирение королевы с принцем Уэльским, изображенным в виде кабана.","Карикатура: примирение королевы с принцем Уэльским, изображенным в виде кабана.",1796,1796,,Бумага,офорт раскрашенный,"30,7х48,2 см"
ОГ-356612,,"Георг III рассматривает в бинокль фигурку Наполеона, которую держит на ладони.","Карикатура: Георг III рассматривает в бинокль фигурку Наполеона, которую держит на ладони.",1803,1803,,Бумага,офорт раскрашенный,"38,7х35 см"
ОГ-356613,,Карикатура на Питта и оппозицию.,Карикатура на Питта и оппозицию.,1805,1805,,Бумага,офорт раскрашенный,49х30 см
ОГ-356614,John Bull's Progress,,"Четыре карикатуры на одном листе с одной доски ""John Bull's Progress"".",1793,1793,,Бумага,офорт раскрашенный,"33,7х41,4 см"
ОГ-356615,,"скупость короля и королевы, которые с семейством пьют кофе без сахара.","Карикатура: скупость короля и королевы, которые с семейством пьют кофе без сахара.",1792,1792,,Бумага,офорт раскрашенный,"35,2х44 см"
ОГ-356616,,Восемь карикатур на Наполеона на одном листе с одной доски.,Восемь карикатур на Наполеона на одном листе с одной доски.,1800,1800,,Бумага,офорт раскрашенный,"34х50,8 см"
ОГ-356617,,Сцена в палате общин: воображаемые зверства французов в случае их вторжения в Англию.,Сцена в палате общин: воображаемые зверства французов в случае их вторжения в Англию.,1798,1798,,Бумага,офорт раскрашенный,"35,2х40,3 см"
ОГ-356618,,мужские моды.,Карикатура: мужские моды.,1792,1792,,Бумага,офорт раскрашенный,"29,6х23,7 см"
ОГ-356619,,"низенький толстяк в мундире с эполетами, ухаживающий за высокой дамой.","Карикатура: низенький толстяк в мундире с эполетами, ухаживающий за высокой дамой.",1792,1792,,Бумага,офорт раскрашенный,"38,3х30,1 см"
ОГ-356620,,"двое мужчин; один из них стоит и держит голову другого, больного.","Карикатура: двое мужчин; один из них стоит и держит голову другого, больного.",1804,1804,,Бумага,офорт раскрашенный,34х24 см
ОГ-356621,,Сцена на пашне: англичане обрабатывают землю; французы с бичами руководят работой.,Сцена на пашне: англичане обрабатывают землю; французы с бичами руководят работой.,1798,1798,,Бумага,офорт раскрашенный,"36,5х42 см"
ОГ-356622,,Карикатура на сдачу Ульма австрийским генералом Макком.,Карикатура на сдачу Ульма австрийским генералом Макком.,1805,1805,,Бумага,офорт раскрашенный,"29,9х48,3 см"
ОГ-356623,,"всадник, падающий в ручей вместе с лошадью.","Карикатура: всадник, падающий в ручей вместе с лошадью.",1800,1800,,Бумага,офорт раскрашенный,28х37 см
ОГ-356624,,"три всадника, падающие с лошадей, преследуемые собаками.","Карикатура: три всадника, падающие с лошадей, преследуемые собаками.",1800,1800,,Бумага,офорт раскрашенный,"27,9х37,4 см"
ОГ-356625,,"лошадь сбросила всадника, который летит через забор.","Карикатура: лошадь сбросила всадника, который летит через забор.",1805,1805,,Бумага,офорт раскрашенный,"28х37,8 см"
ОГ-356626,Political Dreamings,,"""Political Dreamings"".",1801,1801,,Бумага,офорт раскрашенный,"31,3х43,5 см"
ОГ-356627,,отряд волонтеров св. Георгия с капитаном Фостером во главе.,Карикатура: отряд волонтеров св. Георгия с капитаном Фостером во главе.,1797,1797,,Бумага,офорт раскрашенный,30х49 см
ОГ-356628,,Джон Булль с вилами в левой руке смотрит на сидящую за забором старушку.,Карикатура: Джон Булль с вилами в левой руке смотрит на сидящую за забором старушку.,1805,1805,,Бумага,офорт раскрашенный,"33х42,9 см"
ОГ-356629,,"слева сидит спящая негритянка, к ней подкрадывается мужчина, роняющий палку.","Карикатура: слева сидит спящая негритянка, к ней подкрадывается мужчина, роняющий палку.",1796,1796,,Бумага,офорт раскрашенный,"26,1х31 см"
ОГ-356630,,"пожилая дама поет, сидя за клавесином.","Карикатура: пожилая дама поет, сидя за клавесином.",1700,1800,,Бумага,офорт раскрашенный,"27х23,8 см"
ОГ-356631,,"испуганный всадник, окруженный разъяренными собаками.","Карикатура: испуганный всадник, окруженный разъяренными собаками.",1800,1800,,Бумага,офорт раскрашенный,"27х36,8 см"
ОГ-356632,,"отряд волонтеров, среди которых посередине художник Хоппнер с палитрой.","Карикатура: отряд волонтеров, среди которых посередине художник Хоппнер с палитрой.",1796,1796,,Бумага,офорт раскрашенный,"30,2х48,2 см"
ОГ-356633,,На вершине глобуса сидит толстый мужчина и кулаками сталкивает вниз тощего Бонапарта.,На вершине глобуса сидит толстый мужчина и кулаками сталкивает вниз тощего Бонапарта.,1798,1798,,Бумага,офорт раскрашенный,"29,7х48,5 см"
ОГ-356634,,два конькобежца выделывают трудные фигуры на коньках.,Карикатура: два конькобежца выделывают трудные фигуры на коньках.,1805,1805,,Бумага,офорт раскрашенный,Высота: 266 мм; ширина: 375 мм
ОГ-356635,,толстый мужчина в халате направляется к спальне.,Карикатура: толстый мужчина в халате направляется к спальне.,1796,1796,,Бумага,офорт раскрашенный,"30,7х48 см"
ОГ-356636,,моды XVIII дама в шляпе с высокими перьями и в платье с разрезами.,Карикатура: моды XVIII дама в шляпе с высокими перьями и в платье с разрезами.,1796,1796,,Бумага,офорт раскрашенный,"39,8х29,6 см"
ОГ-356637,,"больной сидит на табурете, вытянув левую руку, из которой врач пускает кровь.","Карикатура: больной сидит на табурете, вытянув левую руку, из которой врач пускает кровь.",1804,1804,,Бумага,офорт раскрашенный,"34х24,1 см"
ОГ-356638,,"два испугавшихся друг друга всадника, столкнувшиеся на дороге.","Карикатура: два испугавшихся друг друга всадника, столкнувшиеся на дороге.",1801,1801,,Бумага,офорт раскрашенный,"30,6х41,8 см"
ОГ-356639,,"Карикатура на политический объединенный клуб, основанный в Лондоне.","Карикатура на политический объединенный клуб, основанный в Лондоне.",1801,1801,,Бумага,офорт раскрашенный,"32,3х47,1 см"
ОГ-356640,,"гадалка сидит за столом; перед ней карты, под столом ворон.","Карикатура: гадалка сидит за столом; перед ней карты, под столом ворон.",1794,1794,,Бумага,офорт раскрашенный,"27х32,8 см"
ОГ-356641,,за круглым столом сидят две женщины и мужчина и играют в бирюльки.,Карикатура: за круглым столом сидят две женщины и мужчина и играют в бирюльки.,1797,1797,,Бумага,офорт раскрашенный,"27х33,8 см"
ОГ-356642,,двое мужчин и две дамы за карточным столом.,Карикатура: двое мужчин и две дамы за карточным столом.,1796,1796,,Бумага,офорт раскрашенный,"26,2х37,3 см"
ОГ-356643,,"мужчина, сидящий в уборной.","Карикатура: мужчина, сидящий в уборной.",1804,1804,,Бумага,офорт раскрашенный,"34,6х24,3 см"
ОГ-356644,,"два конькобежца; один из них, справа, провалился в полынью.","Карикатура: два конькобежца; один из них, справа, провалился в полынью.",1805,1805,,Бумага,офорт раскрашенный,"27,7х38 см"
ОГ-356645,,Сцена в лесу: в центре под деревом Джон Булль и две темнокожие женщины в лохмотьях.,Сцена в лесу: в центре под деревом Джон Булль и две темнокожие женщины в лохмотьях.,1700,1800,,Бумага,офорт раскрашенный,"32х44,8 см"
ОГ-356646,,Великий визирь в парадном костюме.,Великий визирь в парадном костюме.,1794,1794,,Бумага,офорт раскрашенный,"37,1х26,8 см"
ОГ-356647,,Турецкая женщина из Константинополя.,Турецкая женщина из Константинополя.,1794,1794,,Бумага,офорт раскрашенный,"36,7х27 см"
ОГ-356648,,Турецкая женщина из Константинополя.,Турецкая женщина из Константинополя.,1794,1794,,Бумага,офорт раскрашенный,37х27 см
ОГ-356649,,Телохранитель султана.,Телохранитель султана.,1794,1794,,Бумага,офорт раскрашенный,"36,9х26,8 см"
ОГ-356650,,"Полковник янычаров в мантии, отороченной горностаем, и головном уборе.","Полковник янычаров в мантии, отороченной горностаем, и головном уборе.",1700,1800,,Бумага,офорт раскрашенный,37х27 см
ОГ-356651,,"Турок, в чалме, шароварах и длинной одежде с широкими длинными рукавами.","Турок, в чалме, шароварах и длинной одежде с широкими длинными рукавами.",1700,1800,,Бумага,офорт раскрашенный,"36,8х27 см"
ОГ-356652,,"Гречанка в шляпе с тремя страусовыми перьями, с цветами у ворота.","Гречанка в шляпе с тремя страусовыми перьями, с цветами у ворота.",1794,1794,,Бумага,офорт раскрашенный,"37,1х26,3 см"
ОГ-356653,,"Янычар, солдат, в головном уборе с верхом в виде полумесяца, в кафтане и в шароварах.","Янычар, солдат, в головном уборе с верхом в виде полумесяца, в кафтане и в шароварах.",1794,1794,,Бумага,офорт раскрашенный,"37,3х27 см"
ОГ-356654,,Карикатура на принца Уэльского и полковника Мак-Магона.,Карикатура на принца Уэльского и полковника Мак-Магона.,1804,1804,,Бумага,офорт раскрашенный,"34,9х51,9 см"
ОГ-356655,,граф Нассалин и принц Оранский на прогулке.,Карикатура: граф Нассалин и принц Оранский на прогулке.,1797,1797,,Бумага,офорт раскрашенный,"48,7х34,3 см"
ОГ-356656,,"охотник, стреляющий нечаянно в своего спутника.","Карикатура: охотник, стреляющий нечаянно в своего спутника.",1800,1800,,Бумага,офорт раскрашенный,"26,8х37,4 см"
ОГ-356657,,"Четыре карикатуры на одном листе, с одной доски.","Четыре карикатуры на одном листе, с одной доски.",1796,1796,,Бумага,офорт раскрашенный,"49х30,3 см"
ОГ-356658,,"охотник стреляет на бегу, перепрыгивая через изгородь.","Карикатура: охотник стреляет на бегу, перепрыгивая через изгородь.",1700,1800,,Бумага,офорт раскрашенный,"26,8х37 см"
ОГ-387814,,Приезд в Лондон.,Приезд в Лондон.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387815,,На содержании у богатого еврея.,На содержании у богатого еврея.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387816,,Утрата блестящей обстановки.,Утрата блестящей обстановки.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387817,,В исправительном доме.,В исправительном доме.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387818,,Преждевременная смерть в полной бедности.,Преждевременная смерть в полной бедности.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387819,,Перед похоронами.,Перед похоронами.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387820,,У нотариуса.,У нотариуса.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387821,,Утро молодых супругов.,Утро молодых супругов.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387822,,У шарлатана.,У шарлатана.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387823,,Прием гостей.,Прием гостей.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387824,,Застигнутый любовник.,Застигнутый любовник.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387825,,Смерть жены.,Смерть жены.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387826,,Мот вступает во владение наследством.,Мот вступает во владение наследством.,1777,1840,,Бумага,гравюра резцом,"25,8х36,5 см"
ОГ-387827,Pl. 2,,"Утренний прием ""14"" ""Pl. 2"".",1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387828,,Кутеж.,Кутеж.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387829,,Мот отправляется к Королевскому двору.,Мот отправляется к Королевскому двору.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387830,,Женитьба на богатой старухе.,Женитьба на богатой старухе.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387831,,В игорном доме.,В игорном доме.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387832,,В долговой тюрьме.,В долговой тюрьме.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387833,,В сумасшедшем доме.,В сумасшедшем доме.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387834,,Странствующие актеры в сарае.,Странствующие актеры в сарае.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387835,,Пьянствующие мужчины за столом.,Пьянствующие мужчины за столом.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387836,,Утро.,Утро.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387837,,Полдень.,Полдень.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387838,,Вечер.,Вечер.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-387839,,Ночь.,Ночь.,1777,1840,,Бумага,гравюра резцом и офортом,"25,8х36,5 см"
ОГ-388439,,Бытовая сцена. Точильщик.,Бытовая сцена. Точильщик.,1800,1830,,Бумага,гравюра офортом,"15,5х24,5 см"
ОГ-391400,,,"""Ограбленная жертва обмана"".",1784,1785,,Бумага,гравюра офортом,"23,7х30,4 см"
ОГ-398725,,"Карикатуры на Наполеона и Корнуолиса, которые изображены за шахматной игрой.","Карикатуры на Наполеона и Корнуолиса, которые изображены за шахматной игрой.",1700,1800,,Бумага,гравюра офортом,"17,8х23 см"
ОГ-398726,,Лист № 4: въезд на Оксфорд-стрит.,Лист № 4: въезд на Оксфорд-стрит.,1700,1800,,Бумага,гравюра офортом,36х44 см
ОГ-398727,,Лист № 6: Кэмбриджская застава с силуэтом собора Св. Павла вдали.,Лист № 6: Кэмбриджская застава с силуэтом собора Св. Павла вдали.,1700,1800,,Бумага,гравюра офортом,"34,4х44 см"
ОГ-398728,,,"""Художник, путешествующий в Уэльсе"".",1700,1800,,Бумага,акватинта,33х41 см
ОГ-398731,,,"""Выставка"".",1811,1811,,Бумага,гравюра офортом,"48,7х31 см"
ОГ-398732,,"На первом плане мчатся две повозки, на которых сидят солдаты, за ними следует отряд кавалерии.","На первом плане мчатся две повозки, на которых сидят солдаты, за ними следует отряд кавалерии.",1700,1800,,Бумага,гравюра офортом,30х45 см
ОГ-400048,,Браконьер.,Браконьер.,1806,1806,,Бумага,гравюра офортом,"31,5х39,2 см"
ОГ-400224,,"Карикатура, посвященная изгнанию Наполеона из России.","Карикатура, посвященная изгнанию Наполеона из России.",1813,1813,,Бумага,гравюра офортом,"23х56 см; 20,2х54 см"
ОГ-400724,,"Карикатура. Три изображения мужчины в постели - слева идущего ко сну, в середине спящего, справа пробудившегося.","Карикатура. Три изображения мужчины в постели - слева идущего ко сну, в середине спящего, справа пробудившегося.",1803,1803,,Бумага,гравюра офортом,"23х43,9 см; 23,8х44,3 см"
ОГ-408285,,Посещение Тауэра.,Посещение Тауэра.,1808,1808,,Бумага,офорт раскрашенный,"19,5х26,5 см"
ОГ-408286,,У цирюльника.,У цирюльника.,1807,1807,,Бумага,офорт раскрашенный,"19,7х26,5 см"
ОГ-408287,,Сапожник за работой.,Сапожник за работой.,1700,1800,,Бумага,офорт раскрашенный,"19,5х26,4 см"
ОГ-373147,"Old Glory. Lord John. Mother Althorp. Penny Magazine. Gabler Gray, Tories, Can't I do wot I like with my own, Waterloo, Silly Billy, Old Bags Q-n",,"Карикатура. Whigs. ""Old Glory. Lord John. Mother Althorp. Penny Magazine. Gabler Gray"". ""Tories"". ""Can't I do wot I like with my own, Waterloo, Silly Billy, Old Bags Q-n"".",,,Дата отсутствует,Бумага; литография,раскраска,"27,7х38 см"
ОГ-373148,,Карикатура. Quite unbearable.,Карикатура. Quite unbearable.,1834,1834,,Бумага; литография,раскраска,"29,8х39,2 см"
ОГ-373146,,Карикатура. Northern Bears taught to Dance.,Карикатура. Northern Bears taught to Dance.,,,Дата отсутствует,Офорт раскрашенный,,"27,5х38,1 см"
ОГ-373144,,"Портрет мужчины, сидящего за конторкой. A View in the Justice Room. Guildhall.","Портрет мужчины, сидящего за конторкой. A View in the Justice Room. Guildhall.",1819,1819,,Гравюра акватинтой и офортом раскрашенная,,"21,2х24 см"
ОГ-371985,,Карикатура на английское общество. Ложа театра. English curiosity.,Карикатура на английское общество. Ложа театра. English curiosity.,,,Дата отсутствует,Фотомеханическая репродукция,,"25,5х28 см"
ОГ-373133,,Карикатура. The Russian van Amburgh taming the British Lion…Robert with his mystic branch.,Карикатура. The Russian van Amburgh taming the British Lion…Robert with his mystic branch.,,,Дата отсутствует,Бумага; гравюра на дереве,,"26,7х19,4 см"
ОГ-373135,"Punch, or the London Charivari. - June, 17, 1871",,"Лист из журнала ""Punch, or the London Charivari. - June, 17, 1871"". The carcase and the eagles.",,,Дата отсутствует,Бумага; гравюра на дереве,,"27,7х42 см"
ОГ-373136,"Punch, or the London Charivari. - Julu, 8,, 1871, Allons, mon ami, let us go burn…, British Workman…",,"Лист из журнала ""Punch, or the London Charivari. - Julu, 8,, 1871"". Fire and smoke. French communist. ""Allons, mon ami, let us go burn…"" ""British Workman…"".",,,Дата отсутствует,Бумага; гравюра на дереве,,"20,5х26,7 см"
ОГ-373137,,"Лист из журнала ""Punch, or the London Charivari.  1871. June 10, 1871. Two Fire -engines. French to be avoided by England. English -  to be borrowed by France.","Лист из журнала ""Punch, or the London Charivari.  1871. June 10, 1871. Two Fire -engines. French to be avoided by England. English -  to be borrowed by France.",,,Дата отсутствует,Бумага; гравюра на дереве,,"26,5х41,6 см"
ОГ-373138,"Punch, or the London Charivari.  1871",,"Лист из журнала ""Punch, or the London Charivari.  1871"". February 4, 1871. Call off the dogs.",,,Дата отсутствует,Бумага; гравюра на дереве,,"27,5х42 см"
ОГ-373139,"Punch, or the London Charivari.  1871, Baptism of fire",,"Лист из журнала ""Punch, or the London Charivari.  1871"". Her ""Baptism of fire"".",,,Дата отсутствует,Бумага; гравюра на дереве,,"27,6х20,3 см"
ОГ-373140,"Punch, or the London Charivari.  1871, Murder! Thieves! Help!",,"Лист из журнала ""Punch, or the London Charivari.  1871"". April 1, 1871, National (Black) Guards. Paris. ""Murder! Thieves! Help!""",,,Дата отсутствует,Бумага; гравюра на дереве,,"27х20,6 см"
ОГ-373125,"Punch, or the London Charivari - Arpil, 22, 1871",,"Лист из журнала ""Punch, or the London Charivari - Arpil, 22, 1871"". To be sold.",1750,1800,,Бумага; гравюра на дереве,,"27,4х20,4 см"
ОГ-373127,"The Graphic, Saturday, may 20, 1871, Gentle craft",,"Лист из журнала ""The Graphic"" ""Saturday, may 20, 1871"". Following the ""Gentle craft"", at the pont de Neuilly, Paris.",,,Дата отсутствует,Бумага; гравюра на дереве,,"40,7х29,3 см"
ОГ-373126,"Punch, or the London Charivari - September, 9, 1871",,"Лист из журнала ""Punch, or the London Charivari - September, 9, 1871"". Hobson's choise""…""He, mon ami!.",,,Дата отсутствует,Бумага; гравюра на дереве,,"27,7х20,7 см"
ОГ-373132,,Карикатура. The Politician. Der Politiker.,Карикатура. The Politician. Der Politiker.,,,Дата отсутствует,Гравюра резцом на стали,,"21,5х16,2 см"
ОГ-373141,"Punch, or the London Charivari.  1871, Mokanna, here-Judge if hell…Lalla Rookh",,"Лист из журнала ""Punch, or the London Charivari.  1871"". June 3, 1871"" ""The red ""Mokanna"" ""here-Judge if hell…Lalla Rookh"".",,,Дата отсутствует,Бумага; гравюра на дереве,,"27,6х20,8 см"
ОГ-373142,"Punch, or the London Charivari.  1871",,"Лист из журнала ""Punch, or the London Charivari.  1871"". The Real Cap of Liberty.",,,Дата отсутствует,Бумага; гравюра на дереве,,"27,5х20,2 см"
ОГ-373134,"Punch, or the London Charivari. - April 8, 1871",,"Лист из журнала ""Punch, or the London Charivari. - April 8, 1871"". A French Lesson.",,,Дата отсутствует,Бумага; гравюра на дереве,,"27,3х20,1 см"
ОГ-371984,,Карикатура на политическое положение Европы.,Карикатура на политическое положение Европы.,1830,1832,,Бумага; офорт,раскрашен,"24,5х33 см"
ОГ-373130,,Карикатура. Джон Буль учит иностранцев. John Bull showing the foreign powers how to make a Constitutional plum-pudding.,Карикатура. Джон Буль учит иностранцев. John Bull showing the foreign powers how to make a Constitutional plum-pudding.,,,Дата отсутствует,Бумага; гравюра на дереве,,"20,5х26 см"
ОГ-373129,Tripp'd up.,,"Карикатура на европейских монархов - Луи Филипа, Николая I, прусского короля и австрийского императора. Royal Pastime; or, Louis Philippe ""Tripp'd up.""",,,Дата отсутствует,Бумага; гравюра на дереве,,"20,7х25,9 см"
ОГ-373122,The educational question. Between two stools…old Proverb,,"Карикатура. Beauty and the beast. L-s P-l-e, Em-s of R-a. ""The educational question. Between two stools…old Proverb"".",1847,1847,,Бумага; гравюра на дереве,,"26,5х19,5 см"
